id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Stephen,,Mount Pleasant,49.26382,-123.10484,Entire home/apt,95,6,128,2021-11-14,1.01,1,204,13,21-156960
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25757,-123.18966,Entire home/apt,175,1,175,2021-11-22,1.40,1,254,22,21-156728
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,400,10,7,2019-12-28,0.17,1,0,0,18 549804 SA
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27857,-123.0899,Entire home/apt,90,30,116,2018-04-04,0.93,1,283,0,
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25808,-123.16824,Entire home/apt,131,30,57,2021-02-28,0.45,1,101,1,18-610-361
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.2719,-123.15043,Entire home/apt,135,3,212,2021-11-22,3.31,2,273,14,21-157255
236297,West End Retreat - Private Room/Bath,1238915,Adam,,West End,49.28993,-123.13879,Private room,99,1,45,2021-11-23,0.50,1,89,5,19-162496
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100,31,1,2014-09-04,0.01,1,192,0,
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,225,2,74,2021-09-18,0.70,1,0,6,21-156743
256178,Luxury Coach House in Kitsilano,1267409,Cormac,,Kitsilano,49.26293,-123.17143,Entire home/apt,230,2,22,2021-11-20,0.20,2,206,12,21-156342
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27839,-123.12852,Entire home/apt,99,120,53,2021-03-31,0.44,1,254,1,
283841,D27 - 3 Bedroom in Coal Harbour,30899,Rami,,Downtown,49.28906,-123.12505,Entire home/apt,197,90,2,2014-07-08,0.02,39,107,0,
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23273,-123.02747,Private room,70,2,72,2020-03-06,0.64,2,109,0,18-596029
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100,30,6,2019-12-21,0.12,5,90,0,18-475635
322824,Modern Yaletown 1BR | GREAT VIEW + CENTRAL,1652613,Blake,,Downtown,49.27608,-123.12452,Entire home/apt,96,30,144,2021-08-28,1.22,2,189,2,
323090,Beautiful fully furnished suite,1555022,Katya And Nick,,Downtown,49.28244,-123.12293,Entire home/apt,168,31,71,2018-04-03,0.61,2,0,0,
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,,Downtown,49.27634,-123.11825,Private room,240,30,44,2019-12-14,0.37,6,364,0,18607863 AM
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,48,30,57,2019-10-01,0.50,1,365,0,
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.2332,-123.0551,Private room,63,1,218,2021-12-04,1.85,3,321,11,21 157106 SA
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,275,3,94,2021-11-27,0.81,1,344,20,21-156549
444187,UNIQUE 4 Bedroom Character House near Downtown!,276869,Chloe,,Mount Pleasant,49.26743,-123.11178,Entire home/apt,395,7,7,2018-09-03,0.15,1,68,0,18-568546
448104,Home (Office) Away from Home – Heart of Downtown,179396,Lili,,Downtown,49.28063,-123.12502,Entire home/apt,130,30,261,2021-12-01,2.24,3,0,7,21-104936
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22834,-123.03047,Private room,102,30,44,2019-09-22,0.39,6,365,0,18-607373
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,102,30,35,2019-09-02,0.30,6,365,0,18-607373
475296,1400sf white loft with large deck + rooftop,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,441,1,157,2021-10-24,1.54,1,355,25,21-157231
485225,Vancouver One Bedroom,103427,Jacqueline M,,Downtown,49.28052,-123.12691,Entire home/apt,349,2,1,2014-08-04,0.01,2,365,0,Exempt
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,124,31,159,2021-10-02,1.38,1,132,2,
